Cycle 122: imm_x=0x0000B80A6A9E imm_y=0xFFFD972BAA5C imm_z=0xFFFFFB942720 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 123: imm_x=0x0000B62164D0 imm_y=0xFFFD929D2D13 imm_z=0xFFFFFB5418F6 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 124: imm_x=0x0000B63177BC imm_y=0xFFFD8E2D33E8 imm_z=0xFFFFFBD92FBF p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 125: imm_x=0x0000B6AA5350 imm_y=0xFFFD88A885BC imm_z=0xFFFFFBF5D0F2 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 126: imm_x=0x0000B4722DF4 imm_y=0xFFFD80005896 imm_z=0xFFFFFB9466FD p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 127: imm_x=0x0000B329B6E0 imm_y=0xFFFD783CB02A imm_z=0xFFFFFBC1203D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 128: imm_x=0x0000B27781A2 imm_y=0xFFFD701F9635 imm_z=0xFFFFFB80676D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 129: imm_x=0x0000B14D4F20 imm_y=0xFFFD68DC3CA2 imm_z=0xFFFFFB80FFFE p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 130: imm_x=0x0000AFAC5D3A imm_y=0xFFFD61F64492 imm_z=0xFFFFFB5D554E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 131: imm_x=0x0000AF510D7E imm_y=0xFFFD5875BFA4 imm_z=0xFFFFFADB4266 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 132: imm_x=0x0000AE0AE77C imm_y=0xFFFD4FD10285 imm_z=0xFFFFFA831785 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 133: imm_x=0x0000ADB3993C imm_y=0xFFFD47DB7DC2 imm_z=0xFFFFFAB24C35 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 134: imm_x=0x0000AC3AEDFE imm_y=0xFFFD3E86AC0E imm_z=0xFFFFFA69904B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 135: imm_x=0x0000AC3CB9A3 imm_y=0xFFFD35B646B9 imm_z=0xFFFFFA288EEE p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 136: imm_x=0x0000AA7ABF2D imm_y=0xFFFD2B7E5F20 imm_z=0xFFFFF9C9FA72 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 137: imm_x=0x0000A942C338 imm_y=0xFFFD20FDB20C imm_z=0xFFFFF9E02FF7 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 138: imm_x=0x0000A8A8A244 imm_y=0xFFFD177E74F2 imm_z=0xFFFFFA5C4004 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 139: imm_x=0x0000A6C815AC imm_y=0xFFFD0E41840A imm_z=0xFFFFF9CCEC7F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 140: imm_x=0x0000A5F676CA imm_y=0xFFFD04813202 imm_z=0xFFFFF9AD3711 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 141: imm_x=0x0000A58AFF75 imm_y=0xFFFCFAABA75E imm_z=0xFFFFF9F80BDB p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 142: imm_x=0x0000A36348CC imm_y=0xFFFCF140EA43 imm_z=0xFFFFF9C2C456 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
